index,pickup_date,actual_pickup_boxcox,scheduled_pickups,actual_pickup_lag7,actual_pickup_lag14,scheduled_pickup_lag7,scheduled_pickup_lag14,family_size,special_occasion_Dhu al-Hijjah,special_occasion_Dhu al-Qadah,special_occasion_Eid al-Adha,special_occasion_Eid al-Fitr,special_occasion_Muharram,special_occasion_Rabi al-Awwal,special_occasion_Rajab,special_occasion_Ramadan,special_occasion_Shaban,season_Spring,season_Summer,season_Winter
31,2024-02-20,39.72426680711799,16376.0,2744.0,13824.0,3654.0,7200.0,3.4782608695652173,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
32,2024-02-21,28.874200104962267,22176.0,13824.0,46656.0,19752.0,18792.0,3.5357142857142856,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
33,2024-02-22,43.40781204587783,94393.0,29791.0,132651.0,24149.0,136476.0,3.7547169811320753,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
34,2024-02-26,24.587511007432536,1804.0,185193.0,2744.0,194940.0,3374.0,3.6363636363636362,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
35,2024-02-27,31.505919481236997,26176.0,85184.0,5832.0,41052.0,3150.0,3.9375,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
36,2024-02-28,30.8624469367865,35030.0,6859.0,8000.0,7942.0,4540.0,3.967741935483871,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
37,2024-02-29,44.4196671320853,97185.0,50653.0,148877.0,35779.0,132659.0,4.363636363636363,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
38,2024-03-01,0.7394438530539825,42.0,97336.0,2744.0,16376.0,3654.0,3.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
39,2024-03-04,26.06854853880194,6408.0,21952.0,13824.0,22176.0,19752.0,3.625,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
40,2024-03-05,23.82449026617858,6888.0,148877.0,29791.0,94393.0,24149.0,3.3333333333333335,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
41,2024-03-06,36.362306747018394,36360.0,10648.0,185193.0,1804.0,194940.0,3.725,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
42,2024-03-07,26.788376178390067,22725.0,32768.0,85184.0,26176.0,41052.0,4.24,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
43,2024-03-08,0.7394438530539825,42.0,29791.0,6859.0,35030.0,7942.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
44,2024-03-11,46.87981111332189,99780.0,166375.0,50653.0,97185.0,35779.0,3.933333333333333,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
45,2024-03-12,43.40781204587783,100064.0,1.0,97336.0,42.0,16376.0,3.509433962264151,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
46,2024-03-13,35.78064181014209,41028.0,13824.0,21952.0,6408.0,22176.0,4.0256410256410255,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
47,2024-03-14,43.40781204587783,85595.0,9261.0,148877.0,6888.0,94393.0,3.358490566037736,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
48,2024-03-15,12.877589946195863,1305.0,64000.0,10648.0,36360.0,1804.0,2.3333333333333335,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
49,2024-03-18,36.362306747018394,34960.0,15625.0,32768.0,22725.0,26176.0,4.125,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
50,2024-03-19,23.045084740394508,11360.0,1.0,29791.0,42.0,35030.0,3.75,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
51,2024-03-20,28.1905313970662,18873.0,216000.0,166375.0,99780.0,97185.0,3.7777777777777777,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
52,2024-03-21,32.14048098872983,25773.0,148877.0,1.0,100064.0,42.0,4.03030303030303,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
53,2024-03-25,38.069475290401435,44204.0,59319.0,13824.0,41028.0,6408.0,3.627906976744186,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
54,2024-03-26,39.72426680711799,49956.0,148877.0,9261.0,85595.0,6888.0,4.173913043478261,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
55,2024-03-27,35.192283077343205,36898.0,729.0,64000.0,1305.0,36360.0,3.6842105263157894,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
56,2024-03-28,37.506503650822324,46284.0,64000.0,15625.0,34960.0,22725.0,3.8333333333333335,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
57,2024-04-01,26.788376178390067,19525.0,8000.0,1.0,11360.0,42.0,4.6,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58,2024-04-02,30.8624469367865,28024.0,19683.0,216000.0,18873.0,99780.0,3.4516129032258065,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59,2024-04-03,23.82449026617858,8820.0,35937.0,148877.0,25773.0,100064.0,3.5238095238095237,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,2024-04-04,32.14048098872983,36003.0,79507.0,59319.0,44204.0,41028.0,3.9393939393939394,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,2024-04-05,0.7394438530539825,47.0,97336.0,148877.0,49956.0,85595.0,4.0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,2024-04-08,43.915830022948285,84132.0,54872.0,729.0,36898.0,1305.0,4.444444444444445,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,2024-04-09,26.06854853880194,17400.0,74088.0,64000.0,46284.0,34960.0,4.083333333333333,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,2024-04-15,51.0881403928892,155871.0,15625.0,8000.0,19525.0,11360.0,3.7246376811594204,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,2024-04-16,44.4196671320853,88770.0,29791.0,19683.0,28024.0,18873.0,3.618181818181818,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,2024-04-17,26.788376178390067,18025.0,9261.0,35937.0,8820.0,25773.0,4.44,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67,2024-04-18,34.596974290935314,31302.0,35937.0,79507.0,36003.0,44204.0,4.378378378378378,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,2024-04-19,0.7394438530539825,15.0,1.0,97336.0,47.0,49956.0,1.0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69,2024-04-22,39.178171929734276,50850.0,157464.0,54872.0,84132.0,36898.0,3.2888888888888888,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
70,2024-04-23,35.192283077343205,38152.0,13824.0,74088.0,17400.0,46284.0,3.710526315789474,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,2024-04-24,22.248097214932137,7030.0,328509.0,15625.0,155871.0,19525.0,2.9473684210526314,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72,2024-04-25,33.99444215034182,33084.0,166375.0,29791.0,88770.0,28024.0,4.083333333333333,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
73,2024-04-29,44.91943286824607,86128.0,15625.0,9261.0,18025.0,8820.0,3.6785714285714284,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,2024-04-30,30.20964466142071,21300.0,50653.0,35937.0,31302.0,36003.0,4.766666666666667,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75,2024-05-01,42.37876979459016,84099.0,1.0,1.0,15.0,47.0,4.1568627450980395,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
76,2024-05-02,44.4196671320853,89540.0,91125.0,157464.0,50850.0,84132.0,2.890909090909091,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
77,2024-05-06,32.7665193332997,36176.0,54872.0,13824.0,38152.0,17400.0,4.352941176470588,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
78,2024-05-07,17.00573373377279,5681.0,6859.0,328509.0,7030.0,155871.0,3.1538461538461537,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
79,2024-05-08,35.78064181014209,53508.0,46656.0,166375.0,33084.0,88770.0,4.487179487179487,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
80,2024-05-09,24.587511007432536,12958.0,175616.0,15625.0,86128.0,18025.0,4.090909090909091,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
81,2024-05-13,28.874200104962267,22344.0,27000.0,50653.0,21300.0,31302.0,4.035714285714286,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
82,2024-05-14,30.8624469367865,27001.0,132651.0,1.0,84099.0,15.0,3.935483870967742,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
83,2024-05-15,40.26508960553705,65800.0,166375.0,91125.0,89540.0,50850.0,3.9574468085106385,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
84,2024-05-16,38.069475290401435,55599.0,39304.0,54872.0,36176.0,38152.0,3.372093023255814,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
85,2024-05-21,37.506503650822324,47922.0,2197.0,6859.0,5681.0,7030.0,4.0476190476190474,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
86,2024-05-22,36.362306747018394,47280.0,59319.0,46656.0,53508.0,33084.0,3.6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
87,2024-05-27,60.84668221000228,270296.0,10648.0,175616.0,12958.0,86128.0,4.195652173913044,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
88,2024-05-28,54.19404425725657,186656.0,21952.0,27000.0,22344.0,21300.0,3.6052631578947367,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
89,2024-05-29,61.64057040518473,259252.0,29791.0,132651.0,27001.0,84099.0,3.765957446808511,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
90,2024-05-30,50.63317143538215,154088.0,103823.0,166375.0,65800.0,89540.0,3.4705882352941178,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
91,2024-06-03,63.20606475616362,442960.0,79507.0,39304.0,55599.0,36176.0,3.795918367346939,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92,2024-06-04,50.63317143538215,194344.0,74088.0,2197.0,47922.0,5681.0,3.3823529411764706,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
93,2024-06-05,41.857499774019395,86800.0,64000.0,59319.0,47280.0,53508.0,3.72,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
94,2024-06-06,51.54017643491103,177660.0,778688.0,10648.0,270296.0,12958.0,4.057142857142857,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95,2024-06-08,6.289367974513988,272.0,438976.0,21952.0,186656.0,22344.0,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
96,2024-06-13,63.97810977976542,323600.0,830584.0,29791.0,259252.0,27001.0,4.02,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
97,2024-06-18,55.485844788231354,268521.0,314432.0,103823.0,154088.0,65800.0,3.962025316455696,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98,2024-06-19,51.54017643491103,202720.0,941192.0,79507.0,442960.0,55599.0,3.2,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
